student_id,name,accuracy,avg_completion_time,score_history,error_types,learning_pace,attendance_rate,homework_completion_rate,Recommended_Level
S0031,Student_0031,0.76,14.4,"[86, 65, 76, 95, 99]","{'reading': 0, 'vocab': 2, 'logic': 0}",9.1,0.79,0.86,Medium (Standard)
S0032,Student_0032,0.5,19.1,"[61, 72, 61, 87, 85]","{'reading': 2, 'vocab': 2, 'logic': 2}",10.9,0.6,0.52,Easy (Review)
S0033,Student_0033,0.44,24.1,"[71, 83, 64, 79, 98]","{'reading': 4, 'vocab': 0, 'logic': 0}",11.3,0.92,0.7,Medium (Standard)
S0034,Student_0034,0.96,11.2,"[71, 72, 69, 92, 99]","{'reading': 4, 'vocab': 2, 'logic': 2}",11.2,0.91,0.76,Hard (Challenge)
S0035,Student_0035,0.97,12.7,"[64, 85, 70, 66, 69]","{'reading': 1, 'vocab': 3, 'logic': 1}",18.6,0.82,0.79,Hard (Challenge)
S0036,Student_0036,0.88,9.4,"[62, 67, 90, 70, 66]","{'reading': 4, 'vocab': 1, 'logic': 0}",15.7,0.63,0.97,Medium (Standard)
S0037,Student_0037,0.58,18.9,"[91, 79, 93, 75, 84]","{'reading': 3, 'vocab': 0, 'logic': 4}",14.1,0.91,0.84,Medium (Standard)
S0038,Student_0038,0.46,22.6,"[70, 65, 82, 86, 65]","{'reading': 1, 'vocab': 3, 'logic': 0}",9.6,0.83,0.74,Medium (Standard)
S0039,Student_0039,0.8,14.2,"[74, 88, 67, 96, 92]","{'reading': 1, 'vocab': 4, 'logic': 1}",17.4,0.91,0.9,Hard (Challenge)
S0040,Student_0040,0.66,18.9,"[97, 96, 89, 90, 69]","{'reading': 1, 'vocab': 2, 'logic': 3}",19.3,0.9,0.98,Hard (Challenge)
S0041,Student_0041,0.47,19.6,"[77, 82, 92, 75, 97]","{'reading': 2, 'vocab': 1, 'logic': 3}",17.3,0.92,0.51,Medium (Standard)
S0042,Student_0042,0.69,19.0,"[61, 89, 72, 75, 64]","{'reading': 3, 'vocab': 4, 'logic': 4}",5.0,0.81,0.99,Medium (Standard)
S0043,Student_0043,0.42,26.2,"[79, 83, 86, 89, 86]","{'reading': 1, 'vocab': 1, 'logic': 4}",14.5,0.66,0.54,Easy (Review)
S0044,Student_0044,0.94,10.5,"[97, 64, 82, 87, 93]","{'reading': 4, 'vocab': 1, 'logic': 2}",5.8,0.87,0.91,Hard (Challenge)
S0045,Student_0045,0.55,18.1,"[68, 88, 98, 63, 62]","{'reading': 4, 'vocab': 3, 'logic': 2}",8.9,0.85,0.64,Medium (Standard)
S0046,Student_0046,0.79,17.1,"[92, 97, 70, 86, 92]","{'reading': 4, 'vocab': 1, 'logic': 2}",5.9,0.9,0.57,Medium (Standard)
S0047,Student_0047,0.58,21.6,"[95, 70, 77, 60, 94]","{'reading': 2, 'vocab': 3, 'logic': 0}",14.1,0.67,0.72,Medium (Standard)
S0048,Student_0048,0.71,14.8,"[84, 97, 79, 62, 61]","{'reading': 1, 'vocab': 3, 'logic': 4}",15.3,0.68,0.82,Medium (Standard)
S0049,Student_0049,0.72,14.8,"[69, 64, 68, 61, 93]","{'reading': 3, 'vocab': 4, 'logic': 1}",6.7,0.96,0.69,Medium (Standard)
S0050,Student_0050,0.51,19.2,"[71, 95, 80, 65, 62]","{'reading': 1, 'vocab': 4, 'logic': 1}",10.8,0.9,0.53,Medium (Standard)
S0051,Student_0051,0.97,7.9,"[80, 85, 97, 85, 67]","{'reading': 4, 'vocab': 2, 'logic': 0}",11.8,0.96,0.8,Hard (Challenge)
S0052,Student_0052,0.86,11.0,"[75, 96, 62, 90, 72]","{'reading': 2, 'vocab': 4, 'logic': 1}",10.5,0.9,0.95,Hard (Challenge)
S0053,Student_0053,0.95,9.0,"[86, 97, 85, 97, 84]","{'reading': 2, 'vocab': 0, 'logic': 4}",6.8,0.84,0.69,Medium (Standard)
S0054,Student_0054,0.93,9.9,"[66, 97, 80, 67, 80]","{'reading': 3, 'vocab': 1, 'logic': 1}",11.3,0.86,0.61,Medium (Standard)
S0055,Student_0055,0.75,14.9,"[88, 68, 74, 89, 85]","{'reading': 1, 'vocab': 4, 'logic': 3}",16.3,0.96,0.72,Medium (Standard)
S0056,Student_0056,0.94,11.7,"[79, 96, 81, 66, 82]","{'reading': 0, 'vocab': 4, 'logic': 3}",6.1,0.83,0.52,Medium (Standard)
S0057,Student_0057,0.45,24.1,"[97, 90, 73, 92, 68]","{'reading': 0, 'vocab': 2, 'logic': 4}",6.2,0.85,0.91,Medium (Standard)
S0058,Student_0058,0.52,17.6,"[85, 88, 87, 87, 67]","{'reading': 4, 'vocab': 4, 'logic': 1}",10.3,0.66,0.91,Medium (Standard)
S0059,Student_0059,0.43,23.4,"[66, 95, 86, 61, 84]","{'reading': 0, 'vocab': 4, 'logic': 2}",19.1,0.79,0.79,Medium (Standard)
S0060,Student_0060,0.59,17.8,"[60, 82, 69, 84, 62]","{'reading': 4, 'vocab': 1, 'logic': 4}",15.0,0.89,0.68,Medium (Standard)
S0061,Student_0061,0.63,17.3,"[61, 77, 82, 61, 71]","{'reading': 4, 'vocab': 3, 'logic': 3}",15.2,0.71,0.9,Medium (Standard)
S0062,Student_0062,0.56,20.1,"[60, 60, 76, 60, 89]","{'reading': 0, 'vocab': 2, 'logic': 2}",10.4,0.68,0.78,Medium (Standard)
S0063,Student_0063,0.89,10.0,"[83, 81, 85, 72, 60]","{'reading': 1, 'vocab': 2, 'logic': 3}",13.9,0.73,0.91,Hard (Challenge)
S0064,Student_0064,0.61,18.6,"[95, 75, 99, 75, 76]","{'reading': 2, 'vocab': 0, 'logic': 1}",5.2,0.7,0.82,Medium (Standard)
S0065,Student_0065,0.57,18.9,"[70, 60, 74, 85, 63]","{'reading': 2, 'vocab': 4, 'logic': 2}",14.5,0.69,0.89,Medium (Standard)
S0066,Student_0066,0.72,16.6,"[72, 69, 70, 77, 93]","{'reading': 0, 'vocab': 1, 'logic': 1}",18.7,0.77,0.8,Medium (Standard)
S0067,Student_0067,0.48,21.0,"[82, 66, 98, 62, 71]","{'reading': 0, 'vocab': 1, 'logic': 0}",14.2,0.96,0.71,Medium (Standard)
S0068,Student_0068,0.87,17.5,"[96, 74, 61, 66, 91]","{'reading': 3, 'vocab': 3, 'logic': 1}",18.1,0.8,0.98,Hard (Challenge)
S0069,Student_0069,0.44,19.9,"[95, 91, 87, 72, 60]","{'reading': 3, 'vocab': 2, 'logic': 3}",15.9,0.68,0.77,Medium (Standard)
S0070,Student_0070,0.98,9.3,"[84, 75, 78, 60, 64]","{'reading': 2, 'vocab': 2, 'logic': 4}",6.8,0.63,0.8,Medium (Standard)
S0071,Student_0071,0.86,11.6,"[96, 95, 95, 63, 95]","{'reading': 3, 'vocab': 4, 'logic': 1}",18.5,0.88,0.61,Medium (Standard)
S0072,Student_0072,0.52,18.5,"[75, 77, 81, 61, 80]","{'reading': 3, 'vocab': 3, 'logic': 4}",6.0,0.75,0.81,Medium (Standard)
S0073,Student_0073,0.4,20.7,"[85, 80, 76, 75, 90]","{'reading': 2, 'vocab': 0, 'logic': 0}",13.0,0.93,0.79,Medium (Standard)
S0074,Student_0074,0.88,14.8,"[96, 61, 73, 92, 94]","{'reading': 1, 'vocab': 1, 'logic': 2}",7.1,0.86,0.59,Medium (Standard)
S0075,Student_0075,0.82,16.4,"[79, 61, 78, 96, 77]","{'reading': 3, 'vocab': 3, 'logic': 4}",5.2,0.92,0.53,Medium (Standard)
S0076,Student_0076,0.83,12.3,"[66, 73, 71, 94, 64]","{'reading': 0, 'vocab': 1, 'logic': 1}",11.3,0.71,0.8,Medium (Standard)
S0077,Student_0077,0.86,11.1,"[91, 69, 76, 64, 68]","{'reading': 0, 'vocab': 0, 'logic': 3}",9.4,0.88,0.88,Hard (Challenge)
S0078,Student_0078,0.44,22.1,"[95, 77, 68, 88, 73]","{'reading': 0, 'vocab': 1, 'logic': 4}",12.3,0.71,0.76,Medium (Standard)
S0079,Student_0079,0.61,16.7,"[74, 88, 63, 77, 98]","{'reading': 2, 'vocab': 2, 'logic': 2}",13.7,0.98,0.61,Medium (Standard)
S0080,Student_0080,0.47,21.9,"[97, 77, 79, 84, 97]","{'reading': 4, 'vocab': 3, 'logic': 0}",5.7,0.85,0.83,Medium (Standard)
S0081,Student_0081,0.91,12.2,"[87, 96, 67, 93, 64]","{'reading': 4, 'vocab': 4, 'logic': 0}",6.8,0.73,0.54,Medium (Standard)
S0082,Student_0082,0.77,11.6,"[91, 92, 62, 89, 71]","{'reading': 4, 'vocab': 2, 'logic': 1}",13.4,0.71,0.72,Medium (Standard)
S0083,Student_0083,0.6,21.1,"[89, 68, 85, 61, 62]","{'reading': 3, 'vocab': 0, 'logic': 2}",10.1,0.68,0.58,Medium (Standard)
S0084,Student_0084,0.44,24.8,"[72, 98, 94, 82, 68]","{'reading': 1, 'vocab': 4, 'logic': 0}",15.9,0.88,0.59,Medium (Standard)
S0085,Student_0085,0.58,17.2,"[90, 61, 91, 77, 72]","{'reading': 4, 'vocab': 1, 'logic': 1}",14.8,0.69,0.6,Medium (Standard)
S0086,Student_0086,0.59,17.4,"[69, 84, 93, 96, 89]","{'reading': 2, 'vocab': 4, 'logic': 2}",17.7,0.84,0.69,Medium (Standard)
S0087,Student_0087,0.83,14.0,"[85, 83, 65, 71, 95]","{'reading': 1, 'vocab': 2, 'logic': 1}",15.4,0.71,0.53,Medium (Standard)
S0088,Student_0088,0.78,15.1,"[85, 77, 80, 95, 99]","{'reading': 3, 'vocab': 3, 'logic': 4}",11.4,0.86,0.7,Medium (Standard)
S0089,Student_0089,0.92,12.9,"[89, 89, 67, 93, 68]","{'reading': 2, 'vocab': 3, 'logic': 0}",15.1,0.93,0.76,Hard (Challenge)
S0090,Student_0090,0.68,20.4,"[78, 64, 70, 74, 67]","{'reading': 2, 'vocab': 2, 'logic': 1}",9.1,0.91,0.74,Medium (Standard)
S0091,Student_0091,0.47,20.2,"[86, 78, 88, 98, 92]","{'reading': 2, 'vocab': 4, 'logic': 2}",9.6,0.9,0.69,Medium (Standard)
S0092,Student_0092,0.82,12.0,"[92, 75, 82, 66, 85]","{'reading': 3, 'vocab': 4, 'logic': 1}",16.8,0.68,0.92,Medium (Standard)
S0093,Student_0093,0.85,10.2,"[87, 64, 85, 64, 81]","{'reading': 4, 'vocab': 3, 'logic': 0}",11.7,0.64,0.57,Medium (Standard)
S0094,Student_0094,0.73,13.9,"[82, 92, 77, 89, 85]","{'reading': 4, 'vocab': 0, 'logic': 1}",17.0,0.88,0.75,Medium (Standard)
S0095,Student_0095,0.85,12.9,"[60, 97, 61, 65, 97]","{'reading': 1, 'vocab': 1, 'logic': 2}",17.3,0.75,0.53,Medium (Standard)
S0096,Student_0096,0.69,19.8,"[67, 87, 69, 76, 88]","{'reading': 1, 'vocab': 1, 'logic': 3}",17.9,0.77,0.54,Medium (Standard)
S0097,Student_0097,0.71,14.8,"[94, 73, 81, 82, 66]","{'reading': 1, 'vocab': 0, 'logic': 4}",18.7,0.61,0.79,Medium (Standard)
S0098,Student_0098,0.65,17.4,"[80, 69, 68, 74, 61]","{'reading': 0, 'vocab': 4, 'logic': 1}",11.5,0.7,0.78,Medium (Standard)
S0099,Student_0099,0.41,21.8,"[93, 94, 97, 62, 65]","{'reading': 0, 'vocab': 2, 'logic': 2}",9.8,0.61,0.94,Medium (Standard)
S0100,Student_0100,0.46,23.2,"[77, 98, 68, 71, 64]","{'reading': 2, 'vocab': 2, 'logic': 0}",13.7,0.95,0.78,Medium (Standard)
S0101,Student_0101,0.42,26.7,"[89, 63, 64, 60, 86]","{'reading': 3, 'vocab': 4, 'logic': 1}",10.6,0.7,0.98,Medium (Standard)
S0102,Student_0102,0.78,13.3,"[71, 72, 61, 96, 75]","{'reading': 2, 'vocab': 3, 'logic': 2}",14.0,0.82,0.52,Medium (Standard)
S0103,Student_0103,0.59,17.2,"[88, 94, 74, 90, 75]","{'reading': 1, 'vocab': 0, 'logic': 2}",15.6,0.62,0.55,Easy (Review)
S0104,Student_0104,0.7,18.1,"[61, 83, 82, 61, 97]","{'reading': 2, 'vocab': 1, 'logic': 4}",15.3,0.87,0.52,Medium (Standard)
S0105,Student_0105,0.94,12.6,"[62, 73, 84, 60, 62]","{'reading': 1, 'vocab': 1, 'logic': 0}",10.6,0.73,0.59,Medium (Standard)
S0106,Student_0106,0.55,22.7,"[97, 82, 80, 60, 80]","{'reading': 2, 'vocab': 1, 'logic': 2}",7.5,0.96,0.77,Medium (Standard)
S0107,Student_0107,0.64,18.4,"[65, 95, 87, 76, 99]","{'reading': 1, 'vocab': 3, 'logic': 2}",11.5,0.96,0.82,Medium (Standard)
S0108,Student_0108,0.85,12.3,"[71, 98, 71, 61, 81]","{'reading': 4, 'vocab': 0, 'logic': 4}",7.1,0.73,0.52,Medium (Standard)
S0109,Student_0109,0.53,20.6,"[70, 64, 94, 86, 61]","{'reading': 0, 'vocab': 4, 'logic': 2}",18.4,0.96,0.97,Medium (Standard)
S0110,Student_0110,0.45,23.2,"[87, 90, 70, 82, 61]","{'reading': 0, 'vocab': 2, 'logic': 2}",10.2,1.0,0.92,Medium (Standard)
S0111,Student_0111,0.57,20.2,"[61, 98, 96, 80, 64]","{'reading': 3, 'vocab': 4, 'logic': 4}",7.3,0.93,0.65,Medium (Standard)
S0112,Student_0112,0.5,21.0,"[88, 79, 97, 79, 84]","{'reading': 1, 'vocab': 0, 'logic': 1}",5.4,0.94,0.54,Medium (Standard)
S0113,Student_0113,0.95,13.1,"[65, 62, 92, 60, 64]","{'reading': 4, 'vocab': 2, 'logic': 3}",14.7,0.7,0.58,Medium (Standard)
S0114,Student_0114,0.88,14.7,"[84, 94, 71, 89, 64]","{'reading': 1, 'vocab': 4, 'logic': 0}",14.6,0.83,0.56,Medium (Standard)
S0115,Student_0115,0.77,17.4,"[62, 79, 90, 64, 83]","{'reading': 0, 'vocab': 1, 'logic': 3}",10.1,0.63,0.56,Medium (Standard)
S0116,Student_0116,0.91,13.1,"[75, 71, 72, 98, 84]","{'reading': 3, 'vocab': 0, 'logic': 1}",6.1,0.64,0.76,Medium (Standard)
S0117,Student_0117,0.87,12.3,"[82, 72, 91, 74, 95]","{'reading': 0, 'vocab': 4, 'logic': 0}",11.1,1.0,0.62,Medium (Standard)
S0118,Student_0118,0.51,20.1,"[69, 83, 77, 77, 66]","{'reading': 3, 'vocab': 1, 'logic': 4}",9.7,0.73,0.68,Medium (Standard)
S0119,Student_0119,0.93,13.8,"[75, 94, 85, 77, 88]","{'reading': 4, 'vocab': 0, 'logic': 0}",15.2,0.9,0.99,Hard (Challenge)
S0120,Student_0120,0.72,14.0,"[84, 80, 76, 82, 76]","{'reading': 1, 'vocab': 4, 'logic': 3}",14.1,0.92,0.84,Medium (Standard)
S0121,Student_0121,0.88,13.1,"[89, 78, 98, 72, 77]","{'reading': 0, 'vocab': 1, 'logic': 0}",10.5,0.94,0.97,Hard (Challenge)
S0122,Student_0122,0.93,10.6,"[92, 91, 76, 78, 86]","{'reading': 2, 'vocab': 4, 'logic': 1}",8.3,1.0,0.57,Medium (Standard)
S0123,Student_0123,0.59,18.3,"[79, 84, 63, 69, 69]","{'reading': 4, 'vocab': 2, 'logic': 2}",19.8,0.7,0.69,Medium (Standard)
S0124,Student_0124,0.46,23.4,"[75, 85, 89, 75, 66]","{'reading': 2, 'vocab': 1, 'logic': 3}",11.8,0.62,0.78,Medium (Standard)
S0125,Student_0125,0.53,19.8,"[94, 80, 95, 76, 91]","{'reading': 0, 'vocab': 2, 'logic': 3}",15.3,0.76,0.54,Medium (Standard)
S0126,Student_0126,0.65,17.1,"[84, 61, 68, 87, 97]","{'reading': 2, 'vocab': 3, 'logic': 0}",7.1,0.65,0.5,Easy (Review)
S0127,Student_0127,0.88,9.7,"[60, 96, 65, 93, 74]","{'reading': 4, 'vocab': 1, 'logic': 0}",12.3,0.61,0.84,Medium (Standard)
S0128,Student_0128,0.91,13.3,"[73, 66, 90, 83, 90]","{'reading': 4, 'vocab': 1, 'logic': 0}",5.4,0.74,0.82,Medium (Standard)
S0129,Student_0129,0.4,23.3,"[73, 99, 95, 83, 86]","{'reading': 0, 'vocab': 2, 'logic': 3}",12.6,0.91,0.71,Medium (Standard)
S0130,Student_0130,0.7,20.3,"[77, 77, 96, 85, 68]","{'reading': 3, 'vocab': 2, 'logic': 3}",19.5,0.83,0.74,Medium (Standard)
S0131,Student_0131,0.65,16.4,"[81, 78, 89, 87, 94]","{'reading': 2, 'vocab': 2, 'logic': 0}",10.8,0.73,0.71,Medium (Standard)
S0132,Student_0132,0.53,19.8,"[98, 95, 89, 82, 78]","{'reading': 3, 'vocab': 2, 'logic': 4}",5.6,0.86,0.51,Medium (Standard)
S0133,Student_0133,0.47,21.1,"[96, 74, 88, 85, 61]","{'reading': 3, 'vocab': 3, 'logic': 3}",5.5,0.69,0.67,Medium (Standard)
S0134,Student_0134,0.6,21.2,"[81, 97, 82, 85, 70]","{'reading': 3, 'vocab': 1, 'logic': 2}",10.8,0.61,0.59,Easy (Review)
S0135,Student_0135,0.96,10.6,"[67, 88, 70, 96, 77]","{'reading': 1, 'vocab': 1, 'logic': 2}",7.4,0.91,0.55,Medium (Standard)
S0136,Student_0136,0.59,18.8,"[68, 94, 70, 71, 62]","{'reading': 4, 'vocab': 3, 'logic': 2}",5.4,0.85,0.98,Medium (Standard)
S0137,Student_0137,0.71,17.0,"[98, 84, 80, 69, 74]","{'reading': 2, 'vocab': 4, 'logic': 3}",16.3,0.9,0.8,Medium (Standard)
S0138,Student_0138,0.81,14.2,"[91, 82, 72, 64, 63]","{'reading': 3, 'vocab': 0, 'logic': 0}",11.9,0.62,0.86,Medium (Standard)
S0139,Student_0139,0.61,16.9,"[94, 96, 80, 77, 92]","{'reading': 2, 'vocab': 0, 'logic': 0}",9.3,0.93,0.66,Medium (Standard)
S0140,Student_0140,0.97,11.0,"[90, 93, 65, 81, 73]","{'reading': 2, 'vocab': 3, 'logic': 3}",18.5,0.85,0.7,Hard (Challenge)
S0141,Student_0141,0.97,12.7,"[71, 61, 61, 74, 82]","{'reading': 4, 'vocab': 0, 'logic': 3}",6.7,0.83,0.62,Medium (Standard)
S0142,Student_0142,0.55,16.9,"[73, 89, 76, 91, 65]","{'reading': 2, 'vocab': 2, 'logic': 1}",19.3,0.85,0.55,Medium (Standard)
S0143,Student_0143,0.69,16.5,"[83, 96, 83, 97, 93]","{'reading': 2, 'vocab': 0, 'logic': 1}",9.7,0.95,0.59,Medium (Standard)
S0144,Student_0144,0.58,17.0,"[71, 87, 99, 66, 82]","{'reading': 4, 'vocab': 1, 'logic': 2}",18.3,0.83,0.9,Medium (Standard)
S0145,Student_0145,0.57,21.0,"[81, 94, 88, 87, 77]","{'reading': 1, 'vocab': 3, 'logic': 1}",14.0,0.83,0.84,Medium (Standard)
S0146,Student_0146,0.42,18.6,"[67, 63, 86, 95, 64]","{'reading': 0, 'vocab': 0, 'logic': 1}",17.4,1.0,0.77,Medium (Standard)
S0147,Student_0147,0.76,13.7,"[89, 67, 98, 85, 96]","{'reading': 1, 'vocab': 3, 'logic': 3}",19.8,0.9,0.74,Medium (Standard)
S0148,Student_0148,0.7,16.8,"[73, 97, 63, 77, 84]","{'reading': 3, 'vocab': 4, 'logic': 2}",9.3,0.78,0.96,Medium (Standard)
S0149,Student_0149,0.43,24.5,"[90, 79, 78, 70, 99]","{'reading': 2, 'vocab': 4, 'logic': 1}",19.4,0.88,0.54,Medium (Standard)
S0150,Student_0150,0.56,18.7,"[78, 68, 77, 84, 73]","{'reading': 3, 'vocab': 0, 'logic': 2}",10.8,0.76,0.64,Medium (Standard)
S0151,Student_0151,0.94,10.1,"[98, 74, 75, 86, 99]","{'reading': 1, 'vocab': 3, 'logic': 2}",10.8,0.69,0.67,Medium (Standard)
S0152,Student_0152,0.54,23.0,"[78, 87, 80, 73, 92]","{'reading': 1, 'vocab': 2, 'logic': 2}",10.1,0.84,0.89,Medium (Standard)
S0153,Student_0153,0.49,17.3,"[96, 77, 70, 61, 71]","{'reading': 2, 'vocab': 2, 'logic': 3}",13.1,0.97,1.0,Medium (Standard)
S0154,Student_0154,0.69,11.8,"[88, 89, 61, 68, 61]","{'reading': 4, 'vocab': 0, 'logic': 1}",7.3,0.97,0.62,Medium (Standard)
S0155,Student_0155,0.98,11.3,"[93, 67, 96, 92, 65]","{'reading': 3, 'vocab': 4, 'logic': 2}",13.3,0.74,0.94,Hard (Challenge)
S0156,Student_0156,0.54,18.2,"[91, 86, 60, 92, 99]","{'reading': 4, 'vocab': 0, 'logic': 0}",13.1,0.81,0.92,Medium (Standard)
S0157,Student_0157,0.8,12.0,"[93, 68, 82, 94, 66]","{'reading': 4, 'vocab': 3, 'logic': 1}",16.4,0.68,0.61,Medium (Standard)
S0158,Student_0158,0.85,14.4,"[84, 62, 83, 93, 81]","{'reading': 2, 'vocab': 2, 'logic': 2}",17.5,1.0,0.7,Hard (Challenge)
S0159,Student_0159,0.54,19.7,"[97, 67, 96, 86, 87]","{'reading': 1, 'vocab': 3, 'logic': 0}",11.6,0.99,0.7,Medium (Standard)
S0160,Student_0160,0.83,12.3,"[92, 75, 88, 68, 92]","{'reading': 3, 'vocab': 0, 'logic': 4}",9.5,0.86,0.99,Hard (Challenge)
S0161,Student_0161,0.62,15.0,"[72, 80, 80, 64, 69]","{'reading': 2, 'vocab': 0, 'logic': 4}",8.9,0.92,0.59,Medium (Standard)
S0162,Student_0162,0.77,16.3,"[60, 79, 67, 69, 68]","{'reading': 0, 'vocab': 0, 'logic': 2}",7.9,0.89,0.9,Hard (Challenge)
S0163,Student_0163,0.77,15.9,"[70, 71, 69, 84, 84]","{'reading': 2, 'vocab': 3, 'logic': 4}",5.9,0.84,0.67,Medium (Standard)
S0164,Student_0164,0.72,15.4,"[85, 73, 98, 99, 60]","{'reading': 3, 'vocab': 4, 'logic': 3}",10.1,0.62,0.87,Medium (Standard)
S0165,Student_0165,0.45,24.7,"[94, 72, 90, 97, 82]","{'reading': 3, 'vocab': 3, 'logic': 4}",9.1,0.78,0.71,Medium (Standard)
S0166,Student_0166,0.89,10.1,"[70, 92, 88, 98, 71]","{'reading': 2, 'vocab': 1, 'logic': 1}",19.5,0.87,0.79,Hard (Challenge)
S0167,Student_0167,0.59,15.1,"[99, 68, 93, 72, 95]","{'reading': 0, 'vocab': 3, 'logic': 0}",13.4,0.87,0.92,Medium (Standard)
S0168,Student_0168,0.51,18.4,"[61, 72, 90, 88, 87]","{'reading': 3, 'vocab': 2, 'logic': 0}",10.2,0.75,0.9,Medium (Standard)
S0169,Student_0169,0.42,21.5,"[79, 71, 96, 68, 82]","{'reading': 2, 'vocab': 0, 'logic': 4}",13.7,0.98,0.93,Medium (Standard)
